,Order Date,sales
0,2011-01-01,808.563
1,2011-01-02,314.22
2,2011-01-03,4503.5372
3,2011-01-04,2808.87024
4,2011-01-05,3662.3100000000004
5,2011-01-06,622.5381
6,2011-01-07,7123.0185
7,2011-01-08,6293.26
8,2011-01-09,813.7494
9,2011-01-10,6794.18116
10,2011-01-11,6451.2517
11,2011-01-12,2629.71652
12,2011-01-13,2584.595
13,2011-01-14,6280.4475
14,2011-01-15,2279.5306
15,2011-01-16,149.95
16,2011-01-17,2309.52924
17,2011-01-18,932.763
18,2011-01-19,2054.691
19,2011-01-20,2289.241
20,2011-01-21,8485.3576
21,2011-01-22,3564.1245
22,2011-01-23,2163.43
23,2011-01-24,3984.3813
24,2011-01-25,1191.622
25,2011-01-26,5422.6764
26,2011-01-27,2165.3999
27,2011-01-28,1208.122
28,2011-01-29,909.94
29,2011-01-30,454.887
30,2011-01-31,7642.585
31,2011-02-01,2455.67
32,2011-02-02,7712.6763
33,2011-02-03,366.644
34,2011-02-04,1866.782
35,2011-02-05,221.39600000000002
36,2011-02-06,2.688
37,2011-02-07,1799.1848
38,2011-02-08,1007.8199999999999
39,2011-02-09,4575.80736
40,2011-02-10,11865.386
41,2011-02-11,1007.42736
42,2011-02-12,2870.8
43,2011-02-13,129.568
44,2011-02-14,4603.894
45,2011-02-15,10346.901
46,2011-02-16,9333.6093
47,2011-02-17,630.9812000000001
48,2011-02-18,2301.1240000000003
49,2011-02-19,156.134
50,2011-02-20,0.0
51,2011-02-21,4485.643
52,2011-02-22,2646.1440000000002
53,2011-02-23,4353.976
54,2011-02-24,5868.44554
55,2011-02-25,3393.51712
56,2011-02-26,4106.661
57,2011-02-27,624.96
58,2011-02-28,2418.317
59,2011-03-01,12565.7663
60,2011-03-02,4148.3728
61,2011-03-03,9479.936599999999
62,2011-03-04,1243.0729999999999
63,2011-03-05,834.166
64,2011-03-06,135.08
65,2011-03-07,3863.362
66,2011-03-08,9871.4036
67,2011-03-09,722.766
68,2011-03-10,4109.668
69,2011-03-11,2933.80812
70,2011-03-12,4636.7480000000005
71,2011-03-13,0.0
72,2011-03-14,6627.33
73,2011-03-15,1824.624
74,2011-03-16,1160.882
75,2011-03-17,4614.013
76,2011-03-18,30117.546199999997
77,2011-03-19,971.462
78,2011-03-20,0.0
79,2011-03-21,10681.92214
80,2011-03-22,3879.797
81,2011-03-23,5070.3631
82,2011-03-24,1363.384
83,2011-03-25,3267.17126
84,2011-03-26,856.445
85,2011-03-27,29.814
86,2011-03-28,4261.49644
87,2011-03-29,2950.3782
88,2011-03-30,5760.5126
89,2011-03-31,7748.076
90,2011-04-01,2582.801
91,2011-04-02,8922.054
92,2011-04-03,879.26
93,2011-04-04,5723.19948
94,2011-04-05,10266.5543
95,2011-04-06,4672.516
96,2011-04-07,3439.49
97,2011-04-08,6800.426
98,2011-04-09,367.365
99,2011-04-10,0.0
100,2011-04-11,4548.4736
101,2011-04-12,4013.3250000000003
102,2011-04-13,3053.3892
103,2011-04-14,6250.894
104,2011-04-15,1727.692
105,2011-04-16,4039.898
106,2011-04-17,0.0
107,2011-04-18,5905.0505
108,2011-04-19,2861.8179999999998
109,2011-04-20,4136.99
110,2011-04-21,4701.69
111,2011-04-22,7061.9661
112,2011-04-23,772.14
113,2011-04-24,165.816
114,2011-04-25,5028.6025
115,2011-04-26,2086.2285
116,2011-04-27,8435.277
117,2011-04-28,3908.238
118,2011-04-29,3070.826
119,2011-04-30,1493.784
120,2011-05-01,0.0
121,2011-05-02,9275.207
122,2011-05-03,5259.2939
123,2011-05-04,7512.6567000000005
124,2011-05-05,2998.255
125,2011-05-06,5964.67968
126,2011-05-07,1983.5140000000001
127,2011-05-08,2501.493
128,2011-05-09,5018.48574
129,2011-05-10,5825.5265
130,2011-05-11,2821.097
131,2011-05-12,5518.592
132,2011-05-13,6773.806
133,2011-05-14,4542.15
134,2011-05-15,193.9275
135,2011-05-16,1568.453
136,2011-05-17,3523.569
137,2011-05-18,9233.3544
138,2011-05-19,3039.9052
139,2011-05-20,1291.395
140,2011-05-21,10643.690999999999
141,2011-05-22,225.89
142,2011-05-23,6533.044
143,2011-05-24,10474.0216
144,2011-05-25,3042.062
145,2011-05-26,5963.665
146,2011-05-27,5867.767
147,2011-05-28,2104.2679
148,2011-05-29,0.0
149,2011-05-30,8638.3231
150,2011-05-31,8409.74388
151,2011-06-01,11480.492699999999
152,2011-06-02,12516.5933
153,2011-06-03,11349.365
154,2011-06-04,1924.083
155,2011-06-05,1139.3400000000001
156,2011-06-06,10266.1
157,2011-06-07,16750.66916
158,2011-06-08,9526.7146
159,2011-06-09,10247.062
160,2011-06-10,5473.2366
161,2011-06-11,3161.302
162,2011-06-12,37.464
163,2011-06-13,6576.14576
164,2011-06-14,4947.3435
165,2011-06-15,6110.8755
166,2011-06-16,4009.489
167,2011-06-17,14495.52216
168,2011-06-18,5516.986
169,2011-06-19,57.9
170,2011-06-20,8528.58376
171,2011-06-21,8718.351
172,2011-06-22,19196.0446
173,2011-06-23,3133.561
174,2011-06-24,5390.39244
175,2011-06-25,5901.02814
176,2011-06-26,1269.252
177,2011-06-27,6654.4935000000005
178,2011-06-28,7198.3968
179,2011-06-29,8332.532299999999
180,2011-06-30,5298.0604
181,2011-07-01,3844.656
182,2011-07-02,388.95500000000004
183,2011-07-03,0.0
184,2011-07-04,1982.4309
185,2011-07-05,3723.7455
186,2011-07-06,3773.45656
187,2011-07-07,4855.94512
188,2011-07-08,3385.266
189,2011-07-09,2023.0790000000002
190,2011-07-10,0.0
191,2011-07-11,5228.10488
192,2011-07-12,5227.161
193,2011-07-13,1940.142
194,2011-07-14,3035.146
195,2011-07-15,933.7476
196,2011-07-16,3626.502
197,2011-07-17,355.0
198,2011-07-18,5443.5756
199,2011-07-19,4766.4048
200,2011-07-20,7975.5875
201,2011-07-21,6100.88292
202,2011-07-22,3074.46
203,2011-07-23,3859.0052
204,2011-07-24,101.48
205,2011-07-25,12335.771999999999
206,2011-07-26,7916.3664
207,2011-07-27,9804.38074
208,2011-07-28,3210.4893
209,2011-07-29,1917.4847
210,2011-07-30,4205.2388
211,2011-07-31,475.9536
212,2011-08-01,6769.1215
213,2011-08-02,5344.5064999999995
214,2011-08-03,10667.9764
215,2011-08-04,13623.4015
216,2011-08-05,5711.4464
217,2011-08-06,1072.596
218,2011-08-07,37.86
219,2011-08-08,8099.047
220,2011-08-09,13284.498
221,2011-08-10,13151.891
222,2011-08-11,7410.921
223,2011-08-12,8969.5969
224,2011-08-13,2603.052
225,2011-08-14,0.0
226,2011-08-15,6933.398
227,2011-08-16,13436.1683
228,2011-08-17,6625.604
229,2011-08-18,9052.81576
230,2011-08-19,10154.613000000001
231,2011-08-20,3032.602
232,2011-08-21,2995.5723
233,2011-08-22,5180.47692
234,2011-08-23,3310.35
235,2011-08-24,5164.88392
236,2011-08-25,9633.2171
237,2011-08-26,8122.276199999999
238,2011-08-27,5397.358
239,2011-08-28,0.0
240,2011-08-29,7613.06082
241,2011-08-30,8905.7286
242,2011-08-31,5277.4521
243,2011-09-01,7250.914
244,2011-09-02,14364.1468
245,2011-09-03,813.54
246,2011-09-04,0.0
247,2011-09-05,4149.8752
248,2011-09-06,10296.67936
249,2011-09-07,6333.653
250,2011-09-08,36827.74592
251,2011-09-09,11577.035679999999
252,2011-09-10,3268.4308
253,2011-09-11,1367.97
254,2011-09-12,14077.43268
255,2011-09-13,6391.793
256,2011-09-14,17720.99818
257,2011-09-15,10736.1766
258,2011-09-16,5407.0809
259,2011-09-17,2466.335
260,2011-09-18,750.24
261,2011-09-19,16203.33736
262,2011-09-20,13651.3334
263,2011-09-21,9810.8032
264,2011-09-22,9066.5295
265,2011-09-23,23866.899
266,2011-09-24,4393.344
267,2011-09-25,6371.5808
268,2011-09-26,8477.011340000001
269,2011-09-27,15354.15488
270,2011-09-28,11437.54184
271,2011-09-29,11746.710000000001
272,2011-09-30,6035.1629
273,2011-10-01,1624.20712
274,2011-10-02,598.144
275,2011-10-03,8662.521279999999
276,2011-10-04,8180.71572
277,2011-10-05,2596.1845000000003
278,2011-10-06,17181.1931
279,2011-10-07,11291.24992
280,2011-10-08,3840.9008000000003
281,2011-10-09,249.35999999999999
282,2011-10-10,7857.7148
283,2011-10-11,2025.2894999999999
284,2011-10-12,4656.312
285,2011-10-13,9798.95798
286,2011-10-14,14453.231099999999
287,2011-10-15,8231.75672
288,2011-10-16,1364.09648
289,2011-10-17,5983.01866
290,2011-10-18,8290.87736
291,2011-10-19,8883.0806
292,2011-10-20,7524.2985
293,2011-10-21,7271.4774
294,2011-10-22,4953.816
295,2011-10-23,0.0
296,2011-10-24,4550.677
297,2011-10-25,4802.985
298,2011-10-26,8069.4229
299,2011-10-27,17289.6859
300,2011-10-28,5778.5817
301,2011-10-29,5022.808
302,2011-10-30,133.26
303,2011-10-31,7905.44
304,2011-11-01,18667.51056
305,2011-11-02,8691.009
306,2011-11-03,19275.0876
307,2011-11-04,18652.758
308,2011-11-05,10385.6998
309,2011-11-06,1555.6215
310,2011-11-07,13232.5699
311,2011-11-08,4292.2318
312,2011-11-09,12155.4545
313,2011-11-10,10174.021999999999
314,2011-11-11,24402.39878
315,2011-11-12,4232.5592
316,2011-11-13,345.76
317,2011-11-14,12537.5958
318,2011-11-15,10494.6696
319,2011-11-16,8008.8932
320,2011-11-17,14062.8082
321,2011-11-18,13514.9344
322,2011-11-19,9876.244
323,2011-11-20,975.0000000000001
324,2011-11-21,5411.8640000000005
325,2011-11-22,9528.56168
326,2011-11-23,8510.63296
327,2011-11-24,10785.4121
328,2011-11-25,18118.762319999998
329,2011-11-26,6403.18
330,2011-11-27,302.75
331,2011-11-28,9289.64072
332,2011-11-29,8444.3224
333,2011-11-30,6168.5835
334,2011-12-01,14118.3252
335,2011-12-02,7294.181
336,2011-12-03,9013.2148
337,2011-12-04,615.1999999999999
338,2011-12-05,10388.71264
339,2011-12-06,12460.3335
340,2011-12-07,10246.562
341,2011-12-08,13338.557499999999
342,2011-12-09,14316.2024
343,2011-12-10,5847.5503
344,2011-12-11,796.63504
345,2011-12-12,10224.353579999999
346,2011-12-13,14356.21064
347,2011-12-14,14350.1541
348,2011-12-15,15078.048
349,2011-12-16,14190.5144
350,2011-12-17,13732.1394
351,2011-12-18,0.0
352,2011-12-19,10801.10436
353,2011-12-20,21881.9314
354,2011-12-21,13003.04024
355,2011-12-22,12810.8913
356,2011-12-23,10609.91348
357,2011-12-24,9788.526
358,2011-12-25,539.2235000000001
359,2011-12-26,14832.9215
360,2011-12-27,15140.1727
361,2011-12-28,18801.06272
362,2011-12-29,10904.2029
363,2011-12-30,6705.187
364,2011-12-31,7740.6630000000005
365,2012-01-01,0.0
366,2012-01-02,10006.6647
367,2012-01-03,3453.3043
368,2012-01-04,2617.8439
369,2012-01-05,5662.225
370,2012-01-06,544.514
371,2012-01-07,3699.814
372,2012-01-08,2176.4519999999998
373,2012-01-09,3598.2799999999997
374,2012-01-10,6298.249
375,2012-01-11,8259.467999999999
376,2012-01-12,8385.098
